harmonic,p_raw,p_clean,atten_dB
7.0,2.2053899900109427e-11,2.0759394863366278e-11,0.26270709363431016
14.0,7.012902119416597e-11,6.637082198872874e-11,0.23920581078035924
21.0,3.130400674776511e-12,3.0023511074536593e-12,0.18138449423171632
28.0,9.504464020787442e-11,8.892349385990134e-11,0.28911112933627825
35.0,3.240269793579321e-13,4.4021638182743406e-13,-1.3308502773415507
42.0,1.6525245331768477e-10,1.5749301559693598e-10,0.2088661695923594
49.0,1.0502784114557224e-15,1.6438360021803796e-13,-21.94554049214796
56.0,2.3605999913865183e-16,1.7972289322877862e-13,-28.815810001663138
63.0,4.347715988852385e-17,1.566076353284763e-13,-35.56551765659262
70.0,6.988242872786455e-17,1.255015528701338e-13,-32.542811092578255
77.0,2.2392889070938133e-17,1.2547262377816934e-13,-37.484388509775904
84.0,8.056803971713397e-17,1.1030615769408718e-13,-31.364369599757747
91.0,1.5913895345232764e-17,9.250558752760972e-14,-37.6439146813288
98.0,2.6082694578411025e-17,1.1021652278456901e-13,-36.25894249443061
105.0,1.3181802782537605e-17,7.129548236000619e-14,-37.330872019187765
112.0,1.251656698820871e-17,9.333010393118217e-14,-38.725365214194426
119.0,1.1978293234706951e-17,6.472809500762707e-14,-37.32697884992592
