harmonic,p_raw,p_clean,atten_dB
7.0,2.2053899900109427e-11,2.2053720040936363e-11,3.541875371418143e-05
14.0,7.012902119416597e-11,1.4879706030098727e-11,6.73303426214391
21.0,3.130400674776511e-12,3.1298620720321326e-12,0.0007472919583695176
28.0,9.504464020787442e-11,5.0033526137533776e-11,2.7866651991797897
35.0,3.240269793579321e-13,3.2380999974665424e-13,0.0029091593850456825
42.0,1.6525245331768477e-10,1.4131398648997593e-10,0.6796276760606021
49.0,1.0502784114557224e-15,1.021712653139304e-15,0.119756668004214
56.0,2.3605999913865183e-16,2.30712079637229e-16,0.09952067269941584
63.0,4.347715988852385e-17,4.140438860865573e-17,0.21214790308475243
70.0,6.988242872786455e-17,6.813879907717299e-17,0.10973515245623036
77.0,2.2392889070938133e-17,2.1657738723841845e-17,0.14497018575062237
84.0,8.056803971713397e-17,7.72983359140085e-17,0.1799265256547688
91.0,1.5913895345232764e-17,1.5472325063008788e-17,0.12220916611751934
98.0,2.6082694578411025e-17,2.534167176450509e-17,0.1251719446711914
105.0,1.3181802782537605e-17,1.2846339673235994e-17,0.11195408606975271
112.0,1.251656698820871e-17,1.2208068180698718e-17,0.1083828193003848
119.0,1.1978293234706951e-17,1.1684916410979852e-17,0.10769330650289148
