harmonic,p_raw,p_clean,atten_dB
7.0,1.382012753237231e-11,1.2426769898295656e-11,0.46153793986347236
14.0,4.04486828985239e-11,4.564420572868121e-12,9.475187303941482
21.0,5.550396137963893e-13,4.564010631874188e-13,0.8497733287303717
28.0,1.0805862397797186e-10,9.17139310468245e-13,20.712241243231496
35.0,4.567307639575679e-13,8.248390454053234e-14,7.432910543522764
42.0,1.6882711034597393e-10,6.331117681968212e-13,24.25961800921215
49.0,1.0844082090637897e-15,5.447520514813322e-17,12.989939221369958
56.0,4.008583635368247e-16,2.732969900272528e-17,11.663561005875165
63.0,1.4884226505598938e-16,2.149222817145041e-17,8.40444827825978
70.0,1.4238761313195735e-16,1.8620309124191182e-17,8.83485323305161
77.0,7.964773502825753e-17,1.5648028562100312e-17,7.067137999667533
84.0,1.2413484690582528e-16,1.4670717879954152e-17,9.274423473340955
91.0,5.597665421430749e-17,1.2620273732629008e-17,6.469381618314447
98.0,6.096934514212726e-17,1.1721143523377165e-17,7.161415465507971
105.0,4.56356135323539e-17,1.1004455960154668e-17,6.177353169203615
112.0,4.297464950699465e-17,1.054689858843614e-17,6.100875731908907
119.0,4.125063090981338e-17,1.0260804196276537e-17,6.042491950921242
