harmonic,p_raw,p_clean,atten_dB
7.0,1.382012753237231e-11,1.0996672052449891e-11,0.9925077720565192
14.0,4.04486828985239e-11,3.673721429708683e-12,10.417981629445078
21.0,5.550396137963893e-13,4.0167224353383336e-13,1.404521582790269
28.0,1.0805862397797186e-10,1.6073417252236917e-13,28.275512141501867
35.0,4.567307639575679e-13,6.833076548670454e-14,8.250439793062043
42.0,1.6882711034597393e-10,2.4601722269830634e-13,28.3647667570896
49.0,1.0844082090637897e-15,7.26983240792543e-17,11.736683974213985
56.0,4.008583635368247e-16,4.0220150370468015e-17,9.985472592242916
63.0,1.4884226505598938e-16,3.148261260485254e-17,6.746555050291311
70.0,1.4238761313195735e-16,2.644279161064919e-17,7.311649074860911
77.0,7.964773502825753e-17,2.2775905888851066e-17,5.436977705051658
84.0,1.2413484690582528e-16,2.023291096589491e-17,7.878353425250819
91.0,5.597665421430749e-17,1.8280683668513798e-17,4.8601450302600915
98.0,6.096934514212726e-17,1.695582100625092e-17,5.557927070883939
105.0,4.56356135323539e-17,1.5966948813886435e-17,4.560819605768488
112.0,4.297464950699465e-17,1.5289374733442103e-17,4.488226182635906
119.0,4.125063090981338e-17,1.4897979028410756e-17,4.423032366842399
