harmonic,p_raw,p_clean,atten_dB
7.0,1.382012753237231e-11,1.3181078817405084e-11,0.20561093793305826
14.0,4.04486828985239e-11,3.7985362555258674e-11,0.2728810862941492
21.0,5.550396137963893e-13,6.256543461326343e-13,-0.5201048544529306
28.0,1.0805862397797186e-10,1.0335506074796172e-10,0.19327686342030329
35.0,4.567307639575679e-13,5.313885317940104e-13,-0.65751912100832
42.0,1.6882711034597393e-10,1.6316164435215808e-10,0.14824113614284426
49.0,1.0844082090637897e-15,9.831416227129553e-14,-19.57423286404422
56.0,4.008583635368247e-16,1.1691576717973397e-13,-24.648821345875266
63.0,1.4884226505598938e-16,8.573993021317844e-14,-27.60456855268302
70.0,1.4238761313195735e-16,9.195070451848947e-14,-28.10082851184418
77.0,7.964773502825753e-17,7.29086801283199e-14,-29.616058061168047
84.0,1.2413484690582528e-16,8.074515614200001e-14,-28.132227657331946
91.0,5.597665421430749e-17,6.047626638130347e-14,-30.335780346641922
98.0,6.096934514212726e-17,7.695972279100396e-14,-31.011519643147373
105.0,4.56356135323539e-17,5.236719866527071e-14,-30.597554487136772
112.0,4.297464950699465e-17,6.606463619328259e-14,-31.86756704395411
119.0,4.125063090981338e-17,4.815888927522894e-14,-30.672458666290577
