method,beta_preservation_%,alpha_preservation_%,theta_preservation_%,dbs_attenuation_dB,dbs_reduction_%,beta_goal_met,attenuation_goal_met,both_goals_met,condition,f_dbs_hz
FFT Spectral Interp,253.75,53.33,137.22,-5.47,71.62,False,False,False,AWAKE_7Hz,7.0
Comb Notch Q=200,231.45,53.3,133.11,-6.98,79.95,False,False,False,AWAKE_7Hz,7.0
Sinusoidal Regression,247.63,53.33,135.99,-5.92,74.39,False,False,False,AWAKE_7Hz,7.0
Stage A (SVD+NLMS),384.67,52.31,109.1,-3.8,58.27,False,False,False,AWAKE_7Hz,7.0
Stage B (Cplx Hampel),220.79,53.33,128.99,-7.66,82.84,False,False,False,AWAKE_7Hz,7.0
Stage C (Template),247.89,53.33,135.74,-5.91,74.33,False,False,False,AWAKE_7Hz,7.0
Hybrid A→B→C,226.84,52.19,91.33,-9.09,87.68,False,False,False,AWAKE_7Hz,7.0
Hybrid + ICA,226.84,52.19,91.33,-9.09,87.68,False,False,False,AWAKE_7Hz,7.0
FFT Spectral Interp,220.61,111.78,121.55,-5.94,74.54,False,False,False,SLEEP_7Hz,7.0
Comb Notch Q=200,188.01,111.72,119.24,-7.75,83.2,False,False,False,SLEEP_7Hz,7.0
Sinusoidal Regression,208.12,111.78,122.07,-6.42,77.17,False,False,False,SLEEP_7Hz,7.0
Stage A (SVD+NLMS),365.8,111.36,129.5,-2.21,39.88,False,False,False,SLEEP_7Hz,7.0
Stage B (Cplx Hampel),170.93,111.78,109.87,-9.27,88.16,False,False,False,SLEEP_7Hz,7.0
Stage C (Template),210.01,111.57,121.82,-6.39,77.05,False,False,False,SLEEP_7Hz,7.0
Hybrid A→B→C,196.41,111.07,107.51,-9.01,87.44,False,False,False,SLEEP_7Hz,7.0
Hybrid + ICA,196.41,111.07,107.51,-9.01,87.44,False,False,False,SLEEP_7Hz,7.0
