State,DBS_Hz,Method,ΔSNR_dB,SDI_dB,MeanAtt5_dB,Pres_δ (0.5–4 Hz),Pres_θ (4–8 Hz),Pres_α (8–13 Hz),Pres_β (13–30 Hz),Pres_γ (30–80 Hz)
AWAKE,7,Spectrum Fit,21.389,13.927,17.28,100.0,39.2,85.2,21.1,2.0
AWAKE,7,Freq-Domain Hampel,8.417,12.516,4.993,93.4,92.3,96.7,36.6,3.1
AWAKE,7,Time-Domain Hampel,7.036,20.411,1.998,96.4,79.7,80.0,50.9,27.4
AWAKE,7,Zapline,6.097,15.158,2.348,100.0,72.4,92.4,54.0,17.7
AWAKE,60,Spectrum Fit,1.868,11.294,10.493,100.0,100.0,100.0,100.0,99.6
AWAKE,60,Freq-Domain Hampel,2.613,11.188,8.874,89.4,91.7,96.5,96.4,94.1
AWAKE,60,Time-Domain Hampel,-5.265,12.687,-9.303,96.9,95.1,94.0,93.7,114.8
AWAKE,60,Zapline,1.182,11.535,0.591,100.0,100.0,100.0,100.0,99.7
AWAKE,100,Spectrum Fit,0.0,10.744,42.906,100.0,100.0,100.0,100.0,100.0
AWAKE,100,Freq-Domain Hampel,0.0,10.315,24.85,89.3,94.9,95.0,95.4,88.3
AWAKE,100,Time-Domain Hampel,0.0,11.917,0.019,98.8,97.1,95.1,96.6,108.2
AWAKE,100,Zapline,0.0,10.744,7.912,100.0,100.0,100.0,100.0,100.0
SLEEP,7,Spectrum Fit,20.523,11.58,18.016,100.0,28.2,83.4,14.3,0.4
SLEEP,7,Freq-Domain Hampel,7.377,5.42,5.857,93.8,92.9,95.1,35.7,0.6
SLEEP,7,Time-Domain Hampel,5.776,20.219,0.933,97.3,86.0,80.7,53.1,28.6
SLEEP,7,Zapline,4.792,10.834,2.359,100.0,126.6,104.9,57.9,9.3
SLEEP,60,Spectrum Fit,1.207,9.179,11.804,100.0,100.0,100.0,100.0,99.9
SLEEP,60,Freq-Domain Hampel,2.678,9.101,11.104,95.0,91.5,94.1,96.6,94.8
SLEEP,60,Time-Domain Hampel,-9.807,11.767,-11.677,96.3,96.4,94.6,94.4,158.0
SLEEP,60,Zapline,1.094,9.413,0.547,100.0,100.0,100.0,100.0,99.8
SLEEP,100,Spectrum Fit,0.0,6.01,46.529,100.0,100.0,100.0,100.0,100.0
SLEEP,100,Freq-Domain Hampel,0.0,5.401,25.659,93.7,96.5,96.1,96.4,93.4
SLEEP,100,Time-Domain Hampel,0.0,8.951,0.033,98.5,96.0,96.2,96.2,124.3
SLEEP,100,Zapline,0.0,6.01,8.218,100.0,100.0,100.0,100.0,100.0
